condition,fold,round_id,run_id,sampling_strategy,catalog_remaining,candidate_pool_size,selected_batch_size,candidate_pool_mutated_positions_json,selected_mutated_positions_json,candidate_pool_unique_mutated_position_count,selected_unique_mutated_position_count,scientist_preferred_position_count,scientist_covers_all_configured_positions,scientist_preferred_residues_json,candidate_depth_1_count,candidate_depth_2_count,candidate_depth_3_count,candidate_depth_4_count,selected_depth_1_count,selected_depth_2_count,selected_depth_3_count,selected_depth_4_count,selected_mean_mutation_count,selected_min_mutation_count,selected_max_mutation_count,new_complete_variant_count_vs_pre_round_visible,new_mutated_position_count_vs_pre_round_visible,new_position_residue_pair_count_vs_pre_round_visible,new_mutated_position_count_vs_campaign_selected,new_position_residue_pair_count_vs_campaign_selected,hamming_one_from_previous_round_count,strict_add_one_from_previous_round_count,candidate_pool_receipt_path,scientist_conversation_path
kg_base_al,1,1,knowledge_agent-s11-f01-GB1-hierarchical-kg_base_al-f01-20260820T221313830308Z,knowledge_filtered,119442,32,16,"[39,40,54]","[39,40,54]",3,3,4,True,"{""39"":[""L"",""I"",""M"",""C""],""40"":[""Y"",""W"",""F"",""H"",""A"",""I"",""V""],""41"":[""G""],""54"":[""V"",""C"",""A""]}",0,16,16,0,0,8,8,0,2.5,2,3,16,0,0,3,11,0,0,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f01-GB1-hierarchical-kg_base_al-f01-20260820T221313830308Z/round_01/candidate_pool_receipt.json,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f01-GB1-hierarchical-kg_base_al-f01-20260820T221313830308Z/round_01/llm/scientist/conversations/00001_reasoning_draft_attempt-00.json
kg_base_al,1,2,knowledge_agent-s11-f01-GB1-hierarchical-kg_base_al-f01-20260820T221313830308Z,knowledge_filtered,119426,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,4,True,"{""39"":[""L"",""I"",""C"",""M""],""40"":[""Y"",""F"",""W"",""H""],""41"":[""G""],""54"":[""V"",""C""]}",0,10,18,4,0,4,9,3,2.9375,2,4,16,0,0,1,6,13,5,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f01-GB1-hierarchical-kg_base_al-f01-20260820T221313830308Z/round_02/candidate_pool_receipt.json,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f01-GB1-hierarchical-kg_base_al-f01-20260820T221313830308Z/round_02/llm/scientist/conversations/00067_reasoning_draft_attempt-00.json
kg_base_al,1,3,knowledge_agent-s11-f01-GB1-hierarchical-kg_base_al-f01-20260820T221313830308Z,knowledge_filtered,119410,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,4,True,"{""39"":[""L"",""I"",""M"",""C""],""40"":[""Y"",""W"",""F"",""H""],""41"":[""G""],""54"":[""V"",""C"",""A""]}",0,5,23,4,0,2,13,1,2.9375,2,4,16,0,0,0,6,9,2,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f01-GB1-hierarchical-kg_base_al-f01-20260820T221313830308Z/round_03/candidate_pool_receipt.json,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f01-GB1-hierarchical-kg_base_al-f01-20260820T221313830308Z/round_03/llm/scientist/conversations/00133_reasoning_draft_attempt-00.json
kg_base_al,2,1,knowledge_agent-s11-f02-GB1-hierarchical-kg_base_al-f02-20260820T222618938269Z,knowledge_filtered,119442,32,16,"[39,40,41,54]","[39,40,54]",4,3,4,True,"{""39"":[""L"",""I"",""C""],""40"":[""Y"",""F"",""W"",""H""],""41"":[""G""],""54"":[""V"",""A"",""C""]}",0,12,20,0,0,8,8,0,2.5,2,3,16,0,0,3,9,0,0,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f02-GB1-hierarchical-kg_base_al-f02-20260820T222618938269Z/round_01/candidate_pool_receipt.json,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f02-GB1-hierarchical-kg_base_al-f02-20260820T222618938269Z/round_01/llm/scientist/conversations/00001_reasoning_draft_attempt-00.json
kg_base_al,2,2,knowledge_agent-s11-f02-GB1-hierarchical-kg_base_al-f02-20260820T222618938269Z,knowledge_filtered,119426,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,4,True,"{""39"":[""L"",""I"",""C""],""40"":[""Y"",""F"",""W"",""H""],""41"":[""G""],""54"":[""V"",""C"",""A""]}",0,6,20,6,0,3,11,2,2.9375,2,4,16,0,0,1,7,13,9,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f02-GB1-hierarchical-kg_base_al-f02-20260820T222618938269Z/round_02/candidate_pool_receipt.json,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f02-GB1-hierarchical-kg_base_al-f02-20260820T222618938269Z/round_02/llm/scientist/conversations/00067_reasoning_draft_attempt-00.json
kg_base_al,2,3,knowledge_agent-s11-f02-GB1-hierarchical-kg_base_al-f02-20260820T222618938269Z,knowledge_filtered,119410,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,4,True,"{""39"":[""L"",""I"",""C""],""40"":[""Y"",""F"",""W"",""H""],""41"":[""G""],""54"":[""V"",""C"",""A"",""M""]}",0,6,24,2,0,1,15,0,2.9375,2,3,16,0,0,0,6,12,1,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f02-GB1-hierarchical-kg_base_al-f02-20260820T222618938269Z/round_03/candidate_pool_receipt.json,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f02-GB1-hierarchical-kg_base_al-f02-20260820T222618938269Z/round_03/llm/scientist/conversations/00133_reasoning_draft_attempt-00.json
kg_base_rag,0,1,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_rag-f00-20260820T215844674788Z,knowledge_filtered,119442,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,4,True,"{""39"":[""C"",""L"",""I"",""M""],""40"":[""Y"",""W"",""F"",""H""],""41"":[""G""],""54"":[""A"",""C"",""V""]}",0,11,21,0,0,5,11,0,2.6875,2,3,16,0,0,4,14,0,0,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f00-GB1-hierarchical-kg_base_rag-f00-20260820T215844674788Z/round_01/candidate_pool_receipt.json,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f00-GB1-hierarchical-kg_base_rag-f00-20260820T215844674788Z/round_01/llm/scientist/conversations/00001_reasoning_draft_attempt-00.json
kg_base_rag,0,2,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_rag-f00-20260820T215844674788Z,knowledge_filtered,119426,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,4,True,"{""39"":[""L"",""I"",""C"",""V""],""40"":[""Y"",""W"",""F"",""H""],""41"":[""G""],""54"":[""V"",""C"",""A""]}",0,15,14,3,0,4,9,3,2.9375,2,4,16,0,0,0,7,11,3,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f00-GB1-hierarchical-kg_base_rag-f00-20260820T215844674788Z/round_02/candidate_pool_receipt.json,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f00-GB1-hierarchical-kg_base_rag-f00-20260820T215844674788Z/round_02/llm/scientist/conversations/00068_reasoning_draft_attempt-00.json
kg_base_rag,0,3,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_rag-f00-20260820T215844674788Z,knowledge_filtered,119410,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,4,True,"{""39"":[""L"",""I"",""C""],""40"":[""Y"",""W"",""F"",""H""],""41"":[""G""],""54"":[""C"",""A"",""V""]}",0,7,16,9,0,3,8,5,3.125,2,4,16,0,0,0,10,8,1,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f00-GB1-hierarchical-kg_base_rag-f00-20260820T215844674788Z/round_03/candidate_pool_receipt.json,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f00-GB1-hierarchical-kg_base_rag-f00-20260820T215844674788Z/round_03/llm/scientist/conversations/00134_reasoning_draft_attempt-00.json
kg_base_rag,1,1,knowledge_agent-s11-f01-GB1-hierarchical-kg_base_rag-f01-20260820T221240262683Z,knowledge_filtered,119442,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,4,True,"{""39"":[""I"",""L""],""40"":[""Y"",""F""],""41"":[""G""],""54"":[""A""]}",0,1,18,13,0,1,10,5,3.25,2,4,16,0,0,4,20,0,0,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f01-GB1-hierarchical-kg_base_rag-f01-20260820T221240262683Z/round_01/candidate_pool_receipt.json,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f01-GB1-hierarchical-kg_base_rag-f01-20260820T221240262683Z/round_01/llm/scientist/conversations/00001_reasoning_draft_attempt-00.json
