condition,round_id,metric,mean,sd,min,max,n_folds
kg_base_rag,1,new_position_residue_pair_count_vs_pre_round_visible,0,0,0,0,3
kg_base_rag,1,scientist_preferred_position_count,4,0,4,4,3
kg_base_rag,1,selected_batch_size,16,0,16,16,3
kg_base_rag,1,selected_depth_1_count,0,0,0,0,3
kg_base_rag,1,selected_depth_2_count,5.33333333333,4.50924975282,1,10,3
kg_base_rag,1,selected_depth_3_count,9,2.64575131106,6,11,3
kg_base_rag,1,selected_depth_4_count,1.66666666667,2.88675134595,0,5,3
kg_base_rag,1,selected_mean_mutation_count,2.77083333333,0.443412430287,2.375,3.25,3
kg_base_rag,1,selected_unique_mutated_position_count,4,0,4,4,3
kg_base_rag,1,strict_add_one_from_previous_round_count,0,0,0,0,3
kg_base_rag,2,candidate_depth_1_count,0,0,0,0,3
kg_base_rag,2,candidate_depth_2_count,11,3.60555127546,8,15,3
kg_base_rag,2,candidate_depth_3_count,16,3.46410161514,14,20,3
kg_base_rag,2,candidate_depth_4_count,5,4.35889894354,2,10,3
kg_base_rag,2,candidate_pool_size,32,0,32,32,3
kg_base_rag,2,candidate_pool_unique_mutated_position_count,4,0,4,4,3
kg_base_rag,2,catalog_remaining,119426,0,119426,119426,3
kg_base_rag,2,hamming_one_from_previous_round_count,9.66666666667,1.52752523165,8,11,3
kg_base_rag,2,new_complete_variant_count_vs_pre_round_visible,16,0,16,16,3
kg_base_rag,2,new_mutated_position_count_vs_campaign_selected,0,0,0,0,3
kg_base_rag,2,new_mutated_position_count_vs_pre_round_visible,0,0,0,0,3
kg_base_rag,2,new_position_residue_pair_count_vs_campaign_selected,5.33333333333,2.08166599947,3,7,3
kg_base_rag,2,new_position_residue_pair_count_vs_pre_round_visible,0,0,0,0,3
kg_base_rag,2,scientist_preferred_position_count,4,0,4,4,3
kg_base_rag,2,selected_batch_size,16,0,16,16,3
kg_base_rag,2,selected_depth_1_count,0,0,0,0,3
kg_base_rag,2,selected_depth_2_count,4.33333333333,0.57735026919,4,5,3
kg_base_rag,2,selected_depth_3_count,8.33333333333,2.08166599947,6,10,3
kg_base_rag,2,selected_depth_4_count,3.33333333333,1.52752523165,2,5,3
kg_base_rag,2,selected_mean_mutation_count,2.9375,0.0625,2.875,3,3
kg_base_rag,2,selected_unique_mutated_position_count,4,0,4,4,3
kg_base_rag,2,strict_add_one_from_previous_round_count,4,2.64575131106,2,7,3
kg_base_rag,3,candidate_depth_1_count,0,0,0,0,3
kg_base_rag,3,candidate_depth_2_count,6.33333333333,1.15470053838,5,7,3
kg_base_rag,3,candidate_depth_3_count,16.6666666667,4.04145188433,13,21,3
kg_base_rag,3,candidate_depth_4_count,9,5,4,14,3
kg_base_rag,3,candidate_pool_size,32,0,32,32,3
kg_base_rag,3,candidate_pool_unique_mutated_position_count,4,0,4,4,3
kg_base_rag,3,catalog_remaining,119410,0,119410,119410,3
kg_base_rag,3,hamming_one_from_previous_round_count,10.6666666667,2.51661147842,8,13,3
kg_base_rag,3,new_complete_variant_count_vs_pre_round_visible,16,0,16,16,3
kg_base_rag,3,new_mutated_position_count_vs_campaign_selected,0,0,0,0,3
kg_base_rag,3,new_mutated_position_count_vs_pre_round_visible,0,0,0,0,3
kg_base_rag,3,new_position_residue_pair_count_vs_campaign_selected,9.33333333333,1.15470053838,8,10,3
kg_base_rag,3,new_position_residue_pair_count_vs_pre_round_visible,0,0,0,0,3
kg_base_rag,3,scientist_preferred_position_count,4,0,4,4,3
kg_base_rag,3,selected_batch_size,16,0,16,16,3
kg_base_rag,3,selected_depth_1_count,0,0,0,0,3
kg_base_rag,3,selected_depth_2_count,3,1,2,4,3
kg_base_rag,3,selected_depth_3_count,8.66666666667,0.57735026919,8,9,3
kg_base_rag,3,selected_depth_4_count,4.33333333333,1.15470053838,3,5,3
kg_base_rag,3,selected_mean_mutation_count,3.08333333333,0.130104124967,2.9375,3.1875,3
kg_base_rag,3,selected_unique_mutated_position_count,4,0,4,4,3
kg_base_rag,3,strict_add_one_from_previous_round_count,4,2.64575131106,1,6,3
random,1,candidate_depth_1_count,0,0,0,0,3
random,1,candidate_depth_2_count,1,1,0,2,3
random,1,candidate_depth_3_count,6.66666666667,4.16333199893,2,10,3
random,1,candidate_depth_4_count,24.3333333333,3.51188458428,21,28,3
random,1,candidate_pool_size,32,0,32,32,3
random,1,candidate_pool_unique_mutated_position_count,4,0,4,4,3
random,1,catalog_remaining,119442,0,119442,119442,3
random,1,hamming_one_from_previous_round_count,0,0,0,0,3
random,1,new_complete_variant_count_vs_pre_round_visible,16,0,16,16,3
random,1,new_mutated_position_count_vs_campaign_selected,4,0,4,4,3
random,1,new_mutated_position_count_vs_pre_round_visible,0,0,0,0,3
random,1,new_position_residue_pair_count_vs_campaign_selected,42.3333333333,3.51188458428,39,46,3
random,1,new_position_residue_pair_count_vs_pre_round_visible,0,0,0,0,3
random,1,scientist_preferred_position_count,0,0,0,0,3
random,1,selected_batch_size,16,0,16,16,3
random,1,selected_depth_1_count,0,0,0,0,3
random,1,selected_depth_2_count,0.666666666667,1.15470053838,0,2,3
random,1,selected_depth_3_count,4,4,0,8,3
random,1,selected_depth_4_count,11.3333333333,3.0550504633,8,14,3
random,1,selected_mean_mutation_count,3.66666666667,0.144337567297,3.5,3.75,3
random,1,selected_unique_mutated_position_count,4,0,4,4,3
random,1,strict_add_one_from_previous_round_count,0,0,0,0,3
random,2,candidate_depth_1_count,0,0,0,0,3
random,2,candidate_depth_2_count,0,0,0,0,3
random,2,candidate_depth_3_count,4,1,3,5,3
random,2,candidate_depth_4_count,28,1,27,29,3
random,2,candidate_pool_size,32,0,32,32,3
random,2,candidate_pool_unique_mutated_position_count,4,0,4,4,3
random,2,catalog_remaining,119426,0,119426,119426,3
random,2,hamming_one_from_previous_round_count,0,0,0,0,3
random,2,new_complete_variant_count_vs_pre_round_visible,16,0,16,16,3
random,2,new_mutated_position_count_vs_campaign_selected,0,0,0,0,3
random,2,new_mutated_position_count_vs_pre_round_visible,0,0,0,0,3
random,2,new_position_residue_pair_count_vs_campaign_selected,16.6666666667,2.51661147842,14,19,3
random,2,new_position_residue_pair_count_vs_pre_round_visible,0,0,0,0,3
random,2,scientist_preferred_position_count,0,0,0,0,3
random,2,selected_batch_size,16,0,16,16,3
random,2,selected_depth_1_count,0,0,0,0,3
random,2,selected_depth_2_count,0,0,0,0,3
random,2,selected_depth_3_count,1,1,0,2,3
random,2,selected_depth_4_count,15,1,14,16,3
random,2,selected_mean_mutation_count,3.9375,0.0625,3.875,4,3
random,2,selected_unique_mutated_position_count,4,0,4,4,3
random,2,strict_add_one_from_previous_round_count,0,0,0,0,3
random,3,candidate_depth_1_count,0,0,0,0,3
random,3,candidate_depth_2_count,1.33333333333,1.52752523165,0,3,3
random,3,candidate_depth_3_count,6.66666666667,2.51661147842,4,9,3
random,3,candidate_depth_4_count,24,3.60555127546,20,27,3
random,3,candidate_pool_size,32,0,32,32,3
random,3,candidate_pool_unique_mutated_position_count,4,0,4,4,3
random,3,catalog_remaining,119410,0,119410,119410,3
random,3,hamming_one_from_previous_round_count,0,0,0,0,3
random,3,new_complete_variant_count_vs_pre_round_visible,16,0,16,16,3
random,3,new_mutated_position_count_vs_campaign_selected,0,0,0,0,3
random,3,new_mutated_position_count_vs_pre_round_visible,0,0,0,0,3
random,3,new_position_residue_pair_count_vs_campaign_selected,9.66666666667,2.51661147842,7,12,3
random,3,new_position_residue_pair_count_vs_pre_round_visible,0,0,0,0,3
random,3,scientist_preferred_position_count,0,0,0,0,3
random,3,selected_batch_size,16,0,16,16,3
random,3,selected_depth_1_count,0,0,0,0,3
random,3,selected_depth_2_count,0.666666666667,1.15470053838,0,2,3
random,3,selected_depth_3_count,3,1.73205080757,2,5,3
random,3,selected_depth_4_count,12.3333333333,2.88675134595,9,14,3
random,3,selected_mean_mutation_count,3.72916666667,0.25259074277,3.4375,3.875,3
random,3,selected_unique_mutated_position_count,4,0,4,4,3
random,3,strict_add_one_from_previous_round_count,0,0,0,0,3
