condition,fold,round_id,run_id,receipt_type,arm,n,wet_mean,wet_median,wet_max,predicted_mean,fraction_le_0_05,fraction_ge_2
kg_base_al,0,2,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_al-f00-20260820T215844624477Z,active_learning_8_4_4,exploration,4,0.111705686321,0.01665720486,0.411125002217,1.5045479238,0.75,0
kg_base_al,0,2,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_al-f00-20260820T215844624477Z,active_learning_8_4_4,knowledge,4,1.67873617107,1.60162444382,3.50389826225,2.79130268097,0.25,0.5
kg_base_al,0,3,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_al-f00-20260820T215844624477Z,active_learning_8_4_4,exploitation,8,2.04221640704,2.17246388554,3.75568245268,2.37322482467,0,0.625
kg_base_al,0,3,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_al-f00-20260820T215844624477Z,active_learning_8_4_4,exploration,4,0.0701962730712,0.0694299845143,0.132048246326,0.719316065311,0.5,0
kg_base_al,0,3,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_al-f00-20260820T215844624477Z,active_learning_8_4_4,knowledge,4,1.5151799155,1.18379920316,2.68771137002,2.19064110518,0,0.25
kg_base_al,1,1,knowledge_agent-s11-f01-GB1-hierarchical-kg_base_al-f01-20260820T221313830308Z,active_learning_8_4_4,exploitation,8,3.27854472451,3.15989331931,5.07529943739,3.00482091308,0,0.875
kg_base_al,1,1,knowledge_agent-s11-f01-GB1-hierarchical-kg_base_al-f01-20260820T221313830308Z,active_learning_8_4_4,exploration,4,2.99092959179,3.17551916958,3.56847515585,2.09577620029,0,1
kg_base_al,1,1,knowledge_agent-s11-f01-GB1-hierarchical-kg_base_al-f01-20260820T221313830308Z,active_learning_8_4_4,knowledge,4,3.55306150503,3.53862008013,4.33564342865,3.2434694767,0,1
kg_base_al,1,2,knowledge_agent-s11-f01-GB1-hierarchical-kg_base_al-f01-20260820T221313830308Z,active_learning_8_4_4,exploitation,8,3.28773206673,2.81592173134,4.4857497292,3.04749256372,0,1
kg_base_al,1,2,knowledge_agent-s11-f01-GB1-hierarchical-kg_base_al-f01-20260820T221313830308Z,active_learning_8_4_4,exploration,4,1.14595702355,1.08872985804,2.32212301375,1.33406549692,0,0.5
kg_base_al,1,2,knowledge_agent-s11-f01-GB1-hierarchical-kg_base_al-f01-20260820T221313830308Z,active_learning_8_4_4,knowledge,4,1.89288288683,2.1970365147,3.17097133842,2.92640924454,0.25,0.5
kg_base_al,1,3,knowledge_agent-s11-f01-GB1-hierarchical-kg_base_al-f01-20260820T221313830308Z,active_learning_8_4_4,exploitation,8,2.59506978479,2.61038337198,4.36614752354,2.34242552519,0,0.875
kg_base_al,1,3,knowledge_agent-s11-f01-GB1-hierarchical-kg_base_al-f01-20260820T221313830308Z,active_learning_8_4_4,exploration,4,0.267613849706,0.0910196238376,0.884743901838,1.07955847681,0.5,0
kg_base_al,1,3,knowledge_agent-s11-f01-GB1-hierarchical-kg_base_al-f01-20260820T221313830308Z,active_learning_8_4_4,knowledge,4,2.50051390897,2.39301009324,3.1086820343,2.4516955018,0,1
kg_base_al,2,1,knowledge_agent-s11-f02-GB1-hierarchical-kg_base_al-f02-20260820T222618938269Z,active_learning_8_4_4,exploitation,8,3.8566824169,3.75665006225,5.07529943739,3.29245662689,0,1
kg_base_al,2,1,knowledge_agent-s11-f02-GB1-hierarchical-kg_base_al-f02-20260820T222618938269Z,active_learning_8_4_4,exploration,4,2.14194308168,2.19506831502,2.70609039018,1.99135172367,0,0.75
kg_base_al,2,1,knowledge_agent-s11-f02-GB1-hierarchical-kg_base_al-f02-20260820T222618938269Z,active_learning_8_4_4,knowledge,4,2.93099584661,3.32301563941,4.38774529032,3.25714749098,0,0.75
