comparison_id,condition,reference,fold,metric,condition_value,reference_value,delta
rag_without_three_channels,kg_base_rag,kg_base,2,r3_batch_median,1.52101885548,0.977533729839,0.543485125646
rag_without_three_channels,kg_base_rag,kg_base,2,best_seen_aulc,4.90827047258,4.90827047258,0
three_channels_with_rag,kg_3features_rag,kg_base_rag,0,final_best_seen,5.07529943739,5.07529943739,0
three_channels_with_rag,kg_3features_rag,kg_base_rag,0,r3_batch_mean,1.58511570668,1.79916445327,-0.214048746583
three_channels_with_rag,kg_3features_rag,kg_base_rag,0,r3_batch_median,1.8801112113,1.67481177331,0.205299437995
three_channels_with_rag,kg_3features_rag,kg_base_rag,0,best_seen_aulc,4.90827047258,4.90827047258,0
three_channels_with_rag,kg_3features_rag,kg_base_rag,1,final_best_seen,5.07529943739,5.07529943739,0
three_channels_with_rag,kg_3features_rag,kg_base_rag,1,r3_batch_mean,0.859456620189,0.814333492891,0.0451231272983
three_channels_with_rag,kg_3features_rag,kg_base_rag,1,r3_batch_median,0.26246704128,0.257255572584,0.0052114686955
three_channels_with_rag,kg_3features_rag,kg_base_rag,1,best_seen_aulc,4.90827047258,4.84774679292,0.06052367966
three_channels_with_rag,kg_3features_rag,kg_base_rag,2,final_best_seen,5.07529943739,5.07529943739,0
three_channels_with_rag,kg_3features_rag,kg_base_rag,2,r3_batch_mean,1.62213265995,1.4505924077,0.171540252248
three_channels_with_rag,kg_3features_rag,kg_base_rag,2,r3_batch_median,1.41663669547,1.52101885548,-0.104382160015
three_channels_with_rag,kg_3features_rag,kg_base_rag,2,best_seen_aulc,4.67908575689,4.90827047258,-0.22918471569
rag_with_three_channels,kg_3features_rag,kg_3features_base,0,final_best_seen,5.07529943739,5.07529943739,0
rag_with_three_channels,kg_3features_rag,kg_3features_base,0,r3_batch_mean,1.58511570668,1.26631543097,0.318800275713
rag_with_three_channels,kg_3features_rag,kg_3features_base,0,r3_batch_median,1.8801112113,0.442067102318,1.43804410898
rag_with_three_channels,kg_3features_rag,kg_3features_base,0,best_seen_aulc,4.90827047258,4.90827047258,0
rag_with_three_channels,kg_3features_rag,kg_3features_base,1,final_best_seen,5.07529943739,5.77203220934,-0.69673277195
rag_with_three_channels,kg_3features_rag,kg_3features_base,1,r3_batch_mean,0.859456620189,1.49401737732,-0.634560757136
rag_with_three_channels,kg_3features_rag,kg_3features_base,1,r3_batch_median,0.26246704128,1.45985337592,-1.19738633464
rag_with_three_channels,kg_3features_rag,kg_3features_base,1,best_seen_aulc,4.90827047258,4.58132402893,0.326946443652
rag_with_three_channels,kg_3features_rag,kg_3features_base,2,final_best_seen,5.07529943739,6.12380479492,-1.04850535753
rag_with_three_channels,kg_3features_rag,kg_3features_base,2,r3_batch_mean,1.62213265995,0.883446410923,0.738686249029
rag_with_three_channels,kg_3features_rag,kg_3features_base,2,r3_batch_median,1.41663669547,0.150647081553,1.26598961392
rag_with_three_channels,kg_3features_rag,kg_3features_base,2,best_seen_aulc,4.67908575689,5.45972947424,-0.780643717348
active_learning,kg_base_al,kg_base,0,final_best_seen,5.07529943739,6.02748854644,-0.95218910905
active_learning,kg_base_al,kg_base,0,r3_batch_mean,1.41745225067,1.13292187786,0.284530372809
active_learning,kg_base_al,kg_base,0,r3_batch_median,1.18379920316,0.33357783706,0.8502213661
active_learning,kg_base_al,kg_base,0,best_seen_aulc,4.90827047258,4.67393551863,0.234334953952
active_learning,kg_base_al,kg_base,1,final_best_seen,5.07529943739,5.07529943739,0
active_learning,kg_base_al,kg_base,1,r3_batch_mean,1.98956683207,1.06112034622,0.928446485845
active_learning,kg_base_al,kg_base,1,r3_batch_median,2.34836682108,0.439139569438,1.90922725165
active_learning,kg_base_al,kg_base,1,best_seen_aulc,4.90827047258,4.71175390318,0.196516569397
active_learning,kg_base_al,kg_base,2,final_best_seen,5.2292463054,5.07529943739,0.15394686801
active_learning,kg_base_al,kg_base,2,r3_batch_mean,2.23213288584,1.26902571957,0.963107166271
active_learning,kg_base_al,kg_base,2,r3_batch_median,2.63387458086,0.977533729839,1.65634085102
active_learning,kg_base_al,kg_base,2,best_seen_aulc,4.93392828391,4.90827047258,0.025657811335
